panel	line	entry	canonical_attempt	note
retina_disease.txt	886	SRTD9	SRTD9	not_current_hgnc_after_official_aliases
retina_disease.txt	896	STX3B	STX3B	not_current_hgnc_after_official_aliases
retina_disease.txt	898	SVD	SVD	not_current_hgnc_after_official_aliases
retina_disease.txt	903	TEF1	TEF1	not_current_hgnc_after_official_aliases
retina_disease.txt	904	TEM5L	TEM5L	not_current_hgnc_after_official_aliases
retina_disease.txt	905	THPH5	THPH5	not_current_hgnc_after_official_aliases
retina_disease.txt	918	TN	TN	not_current_hgnc_after_official_aliases
retina_disease.txt	934	TU15B	TU15B	not_current_hgnc_after_official_aliases
retina_disease.txt	943	USH1A	USH1A	not_current_hgnc_after_official_aliases
retina_disease.txt	947	USH1E	USH1E	not_current_hgnc_after_official_aliases
retina_disease.txt	950	USH1H	USH1H	not_current_hgnc_after_official_aliases
retina_disease.txt	952	USH1K	USH1K	not_current_hgnc_after_official_aliases
retina_disease.txt	954	USH2B	USH2B	not_current_hgnc_after_official_aliases
retina_disease.txt	962	VDM4	VDM4	not_current_hgnc_after_official_aliases
retina_disease.txt	964	VMD1	VMD1	not_current_hgnc_after_official_aliases
retina_disease.txt	966	VMD3	VMD3	not_current_hgnc_after_official_aliases
retina_disease.txt	967	VRD1	VRD1	not_current_hgnc_after_official_aliases
retina_disease.txt	976	WGN1	WGN1	not_current_hgnc_after_official_aliases
retina_disease.txt	979	Xp21-q21	Xp21-q21	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	56	CCD134	CCD134	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	70	CGAF	CGAF	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	113	DHPAT	DHPAT	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	178	FUCA	FUCA	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	205	"GREM1, FMN1"	"GREM1, FMN1"	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	223	HSGNAT	HSGNAT	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	238	IFT40	IFT40	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	279	MAENLI	MAENLI	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	324	NKX3¡V2	NKX3¡V2	not_current_hgnc_after_official_aliases
