alias	existing_or_reason	candidate_target	source
COP1	current_symbol	CARD16	hgnc_alias_symbol
COQ8	multiple_targets	COQ8A|COQ8B	hgnc_alias_symbol
COT	MAP3K8	CROT	hgnc_alias_symbol
COX1	multiple_targets	MT-CO1|PTGS1	hgnc_alias_symbol
COX11P	COX11P1	COX11	hgnc_alias_symbol
COX2	multiple_targets	MT-CO2|PTGS2	hgnc_alias_symbol
CP27	multiple_targets	CFDP1|CYP27A1	hgnc_alias_symbol
CPA3	current_symbol	CPA4	hgnc_alias_symbol
CPA6	current_symbol	CYP2A6	hgnc_alias_symbol
CPD	current_symbol	HOMER2	hgnc_alias_symbol
CPI17-like	multiple_targets	PPP1R14C|PPP1R14D	hgnc_alias_symbol
CPN1	current_symbol	CPNE1|CYP11B1	hgnc_alias_symbol
CPN2	current_symbol	CPNE2|CYP11B2	hgnc_alias_symbol
CPO	current_symbol	CPOX	hgnc_prev_symbol
CPS1	current_symbol	CYP21A2	hgnc_alias_symbol
CPT1	multiple_targets	CPT1A|CPT2	hgnc_prev_symbol
CPX	multiple_targets	CPOX|EBP	hgnc_alias_symbol
CR	multiple_targets	CD55|CRIPTO|EDARADD	hgnc_alias_symbol
CRA	multiple_targets	LUC7L3|MTMR11	hgnc_alias_symbol
CRABP-I	multiple_targets	CRABP1|RBP1	hgnc_alias_symbol
CRABP-II	multiple_targets	CRABP2|RBP2	hgnc_alias_symbol
CRD	RPGR	CRX	hgnc_alias_symbol
CREB3	current_symbol	CREB3L4	hgnc_alias_symbol
CRF	multiple_targets	C1QL1|CRH	hgnc_alias_symbol
CRIP1	current_symbol	CNRIP1	hgnc_alias_symbol
CRN	multiple_targets	CORIN|CRNKL1	hgnc_alias_symbol
CRP	current_symbol	PPIAP10	hgnc_alias_symbol
CRP2	multiple_targets	CEBPB|CRIP2|CSRP2	hgnc_alias_symbol
CRT	multiple_targets	CALR|SLC6A8	hgnc_alias_symbol
CRT2	multiple_targets	CALR3|SLC16A12	hgnc_alias_symbol
CRYG5	CRYGEP	CRYGA	hgnc_alias_symbol
CS-1	multiple_targets	ITPRID2|MYOZ2	hgnc_alias_symbol
CS-2	multiple_targets	CSH2|MYOZ1	hgnc_alias_symbol
CSA	multiple_targets	CSH1|ERCC8	hgnc_alias_symbol
CSB	multiple_targets	CSH2|ERCC6	hgnc_alias_symbol
CSE	SLC2A1	CTH	hgnc_alias_symbol
CSN1	CSN1S1	GPS1	hgnc_alias_symbol
CSN2	current_symbol	COPS2	hgnc_alias_symbol
CSN3	current_symbol	COPS3	hgnc_alias_symbol
CSNK2A1	current_symbol	CSNK2A2	hgnc_alias_symbol
CSRP	multiple_targets	CSRP1|MED14	hgnc_alias_symbol
CSRP2BP	KAT14	PET117	hgnc_alias_symbol
CST6	current_symbol	CSTB	hgnc_alias_symbol
