SNV/indel,CNV,STR,Mitochondria
USP8,USP8,,
VAMP1,VAMP1,,
VAPB,VAPB,,
VCL,VCL,,
VCP,VCP,,
VMA21,VMA21,,
VPS13A,VPS13A,,
VRK1,VRK1,,
VWA1,VWA1,,
WARS1,WARS1,,
WFS1,WFS1,,
WNK1,WNK1,,
XDH,XDH,,
XK,XK,,
XPNPEP3,XPNPEP3,,
YARS,YARS,,
YARS2,YARS2,,
ZBTB20,ZBTB20,,
ZC4H2,ZC4H2,,
ZFHX2,ZFHX2,,
ZIC2,ZIC2,,
