SNV/indel,CNV,STR,Mitochondria
NBEA,NBEA,,
NDE1,NDE1,,
NDUFA1,NDUFA1,,
NDUFA10,NDUFA10,,
NDUFA11,NDUFA11,,
NDUFA12,NDUFA12,,
NDUFA13,NDUFA13,,
NDUFA2,NDUFA2,,
NDUFA4,NDUFA4,,
NDUFA6,NDUFA6,,
NDUFA8,NDUFA8,,
NDUFA9,NDUFA9,,
NDUFAF1,NDUFAF1,,
NDUFAF2,NDUFAF2,,
NDUFAF3,NDUFAF3,,
NDUFAF4,NDUFAF4,,
NDUFAF5,NDUFAF5,,
NDUFAF6,NDUFAF6,,
NDUFAF8,NDUFAF8,,
NDUFB10,NDUFB10,,
NDUFB11,NDUFB11,,
NDUFB3,NDUFB3,,
NDUFB7,NDUFB7,,
NDUFB8,NDUFB8,,
NDUFC2,NDUFC2,,
NDUFS1,NDUFS1,,
NDUFS2,NDUFS2,,
NDUFS3,NDUFS3,,
NDUFS4,NDUFS4,,
NDUFS6,NDUFS6,,
NDUFS7,NDUFS7,,
NDUFS8,NDUFS8,,
NDUFV1,NDUFV1,,
NDUFV2,NDUFV2,,
NEDD4L,NEDD4L,,
NEU1,NEU1,,
NEUROD2,NEUROD2,,
NEXMIF,NEXMIF,,
NFS1,NFS1,,
NFU1,NFU1,,
NGLY1,NGLY1,,
NHLRC1,NHLRC1,,
NNT,NNT,,
NOTCH3,NOTCH3,,
NPC1,NPC1,,
NPC2,NPC2,,
NPRL2,NPRL2,,
NPRL3,NPRL3,,
NR4A2,NR4A2,,
NRROS,NRROS,,
NRXN1,NRXN1,,
NSD1,NSD1,,
NSDHL,NSDHL,,
NSRP1,NSRP1,,
NSUN3,NSUN3,,
NT5C3A,NT5C3A,,
NT5E,NT5E,,
NTRK2,NTRK2,,
NUBPL,NUBPL,,
NUP214,NUP214,,
NUS1,NUS1,,
OAT,OAT,,
OCLN,OCLN,,
OCRL,OCRL,,
OGDH,OGDH,,
OGDHL,OGDHL,,
OPA1,OPA1,,
OPA3,OPA3,,
OPHN1,OPHN1,,
OTC,OTC,,
OTUD6B,OTUD6B,,
OTUD7A,OTUD7A,,
OXCT1,OXCT1,,
OXR1,OXR1,,
P4HTM,P4HTM,,
PABPC1,PABPC1,,
PACS1,PACS1,,
PACS2,PACS2,,
PAFAH1B1,PAFAH1B1,,
PAH,PAH,,
PAK1,PAK1,,
PANK2,PANK2,,
PARS2,PARS2,,
PC,PC,,
PCBD1,PCBD1,,
PCCA,PCCA,,
PCCB,PCCB,,
PCDH12,PCDH12,,
PCDH19,PCDH19,,
PCDHGC4,PCDHGC4,,
PCK1,PCK1,,
PCSK9,PCSK9,,
PCYT2,PCYT2,,
PDE12,PDE12,,
PDHA1,PDHA1,,
PDHB,PDHB,,
PDHX,PDHX,,
PDK3,PDK3,,
PDP1,PDP1,,
PDSS1,PDSS1,,
PDSS2,PDSS2,,
PEPD,PEPD,,
PET100,PET100,,
PEX1,PEX1,,
PEX10,PEX10,,
PEX11B,PEX11B,,
PEX12,PEX12,,
PEX13,PEX13,,
PEX14,PEX14,,
PEX16,PEX16,,
PEX19,PEX19,,
PEX2,PEX2,,
PEX26,PEX26,,
PEX3,PEX3,,
PEX5,PEX5,,
PEX6,PEX6,,
PEX7,PEX7,,
PFKM,PFKM,,
PGAM2,PGAM2,,
PGAP2,PGAP2,,
PGAP3,PGAP3,,
PGK1,PGK1,,
PGM1,PGM1,,
PGM2L1,PGM2L1,,
PGM3,PGM3,,
PHACTR1,PHACTR1,,
PHGDH,PHGDH,,
PHKA1,PHKA1,,
PHKA2,PHKA2,,
PHKB,PHKB,,
PHKG2,PHKG2,,
PHYH,PHYH,,
PI4K2A,PI4K2A,,
PIDD1,PIDD1,,
PIGA,PIGA,,
PIGB,PIGB,,
PIGC,PIGC,,
PIGG,PIGG,,
PIGH,PIGH,,
PIGK,PIGK,,
PIGL,PIGL,,
PIGM,PIGM,,
PIGN,PIGN,,
PIGO,PIGO,,
PIGP,PIGP,,
PIGQ,PIGQ,,
PIGS,PIGS,,
PIGT,PIGT,,
PIGU,PIGU,,
PIGV,PIGV,,
PIGW,PIGW,,
PIK3R2,PIK3R2,,
PINK1,PINK1,,
PIP5K1C,PIP5K1C,,
PITRM1,PITRM1,,
PLA2G6,PLA2G6,,
PLAA,PLAA,,
PLCB1,PLCB1,,
PLK1,PLK1,,
PLPBP,PLPBP,,
PLXNA1,PLXNA1,,
PMM2,PMM2,,
PMPCA,PMPCA,,
PMPCB,PMPCB,,
PNKP,PNKP,,
PNP,PNP,,
PNPLA2,PNPLA2,,
PNPLA8,PNPLA8,,
PNPO,PNPO,,
PNPT1,PNPT1,,
POLG,POLG,,
POLG2,POLG2,,
