SNV/indel,CNV,STR,Mitochondria
DYRK1A,DYRK1A,,
DYSF,DYSF,,
DZIP1,DZIP1,,
EARS2,EARS2,,
EBF3,EBF3,,
EBP,EBP,,
ECHS1,ECHS1,,
ECM1,ECM1,,
ECRG4,ECRG4,,
ECT2,ECT2,,
EDEM2,EDEM2,,
EDN3,EDN3,,
EED,EED,,
EEF1A2,EEF1A2,,
EEF1AKMT3,EEF1AKMT3,,
EEF1B2,EEF1B2,,
EFCAB1,EFCAB1,,
EFHC1,EFHC1,,
EFNA3,EFNA3,,
EFNB2,EFNB2,,
EFTUD2,EFTUD2,,
EGF,EGF,,
EHMT1,EHMT1,,
EIF2AK2,EIF2AK2,,
EIF2AK3,EIF2AK3,,
EIF2B1,EIF2B1,,
EIF2B2,EIF2B2,,
EIF2B3,EIF2B3,,
EIF2B4,EIF2B4,,
EIF2B5,EIF2B5,,
EIF2S3,EIF2S3,,
EIF3E,EIF3E,,
EIF3F,EIF3F,,
ELFN1,ELFN1,,
ELMO1,ELMO1,,
ELMO2,ELMO2,,
ELN,ELN,,
ELOA,ELOA,,
ELOVL4,ELOVL4,,
ELP2,ELP2,,
EMC1,EMC1,,
EMC10,EMC10,,
EML1,EML1,,
EML4,EML4,,
EML5,EML5,,
EML6,EML6,,
EMX2,EMX2,,
EN1,EN1,,
ENG,ENG,,
ENPP7,ENPP7,,
ENTPD1,ENTPD1,,
ENTPD3,ENTPD3,,
EP300,EP300,,
EP400,EP400,,
EPB41L3,EPB41L3,,
EPG5,EPG5,,
EPHA2,EPHA2,,
EPHA5,EPHA5,,
EPHB1,EPHB1,,
EPHB2,EPHB2,,
EPHB6,EPHB6,,
EPM2A,EPM2A,,
EPRS,EPRS,,
ERAP2,ERAP2,,
ERBB4,ERBB4,,
ERCC6,ERCC6,,
ERLIN2,ERLIN2,,
ERMAP,ERMAP,,
ERMARD,ERMARD,,
ESAM,ESAM,,
ESCO2,ESCO2,,
ESF1,ESF1,,
ESPNL,ESPNL,,
ESRP1,ESRP1,,
ESYT2,ESYT2,,
ETFDH,ETFDH,,
ETHE1,ETHE1,,
ETV1,ETV1,,
ETV2,ETV2,,
EVPL,EVPL,,
EXD3,EXD3,,
EXOC2,EXOC2,,
EXOC6,EXOC6,,
EXOC6B,EXOC6B,,
EXOC7,EXOC7,,
EXOC8,EXOC8,,
EXOSC3,EXOSC3,,
EXOSC5,EXOSC5,,
EXOSC9,EXOSC9,,
EXT2,EXT2,,
EXTL3,EXTL3,,
EYA1,EYA1,,
