gene_symbol	pheno_score
NCAPG2	15.3846
SDHA	15.3846
KCNA1	15.3846
TNNT1	15.3846
PDP1	15.3846
PIGP	15.3846
DPP9	15.3846
MT-ND3	15.3846
TRIM8	15.3846
UBE3A	15.3846
CARS2	15.3846
DGUOK	15.3846
JPH1	15.3846
HPCA	15.3846
SCN3A	15.3846
COLQ	15.3846
BORCS8	15.3846
PTS	15.3846
GCH1	15.3846
CACNA1E	15.3846
PEX16	15.3846
MTHFS	15.3846
WARS2	15.3846
TYMS	15.3846
SDHC	15.3846
RAC2	15.3846
RAG1	15.3846
RNF31	15.3846
LAT	15.3846
DNMT3B	15.3846
SP110	15.3846
FOXN1	15.3846
DOCK2	15.3846
CD3D	15.3846
PNP	15.3846
PGM3	15.3846
PTCRA	15.3846
UNC119	15.3846
CD3G	15.3846
CD247	15.3846
IL2RA	15.3846
RAG2	15.3846
DCLRE1C	15.3846
IL7R	15.3846
CD3E	15.3846
IL2RG	15.3846
ACP5	15.3846
MYD88	15.3846
BTK	15.3846
STAT1	15.3846
JAK3	15.3846
ADA	15.3846
ATM	15.3846
MCM10	15.3846
PRKDC	15.3846
MIR140	7.6923
SLC18A2	7.6923
LAMC2	7.6923
CTSK	7.6923
D2HGDH	7.6923
SCARF2	7.6923
IGHMBP2	7.6923
LAMB3	7.6923
KIF22	7.6923
TRPV4	7.6923
LAMA3	7.6923
CITED2	7.6923
NIPA1	7.6923
GTF2IRD1	7.6923
TMEM260	7.6923
VPS37D	7.6923
GATA4	7.6923
DNAJC19	7.6923
LARP7	7.6923
SHMT2	7.6923
HAAO	7.6923
NXN	7.6923
SLC19A2	7.6923
COG6	7.6923
CIROZ	7.6923
LEF1	7.6923
LIMK1	7.6923
WT1	7.6923
CCBE1	7.6923
MASP1	7.6923
MKKS	7.6923
UMPS	7.6923
ARHGAP31	7.6923
STAMBP	7.6923
CCNQ	7.6923
ROBO4	7.6923
H3-3B	7.6923
PRKACA	7.6923
GLI1	7.6923
CIROP	7.6923
ATP2B1	7.6923
ATP9A	7.6923
THSD1	7.6923
CUX1	7.6923
PIGF	7.6923
TMEM147	7.6923
EOGT	7.6923
MYH7	7.6923
CLIP2	7.6923
COL1A2	7.6923
XYLT2	7.6923
EPHB4	7.6923
BUD23	7.6923
GTF2IRD2	7.6923
GJA1	7.6923
UPF3B	7.6923
TMEM94	7.6923
PLD1	7.6923
CHST14	7.6923
TGFB3	7.6923
ZNF341	7.6923
PIK3R2	7.6923
TBL2	7.6923
ACTC1	7.6923
CSGALNACT1	7.6923
VEZF1	7.6923
KCNH1	7.6923
TBX20	7.6923
ZDHHC9	7.6923
MED11	7.6923
IFT27	7.6923
NKX2-6	7.6923
NDUFB7	7.6923
CFAP45	7.6923
GGCX	7.6923
STRA6	7.6923
DNAJC30	7.6923
RBM8A	7.6923
EMILIN1	7.6923
GATA5	7.6923
GDF1	7.6923
EIF2AK3	7.6923
TMEM270	7.6923
H3-3A	7.6923
KLHL20	7.6923
SNX14	7.6923
AGGF1	7.6923
NR2F2	7.6923
ATIC	7.6923
TBC1D7	7.6923
BAZ1B	7.6923
DAW1	7.6923
ABL1	7.6923
EIF4H	7.6923
FKBP6	7.6923
ACTA2	7.6923
TGFBR1	7.6923
CPE	7.6923
TGDS	7.6923
DNMT3A	7.6923
FLII	7.6923
THOC6	7.6923
NKAP	7.6923
MYOCD	7.6923
MEGF8	7.6923
DPH2	7.6923
MYRF	7.6923
MMP21	7.6923
NEK9	7.6923
PTF1A	7.6923
SH3PXD2B	7.6923
FILIP1	7.6923
MAPKAPK5	7.6923
CTU2	7.6923
GJA5	7.6923
DPH1	7.6923
PRKACB	7.6923
STX1A	7.6923
SMAD2	7.6923
TKT	7.6923
EVC2	7.6923
SMG8	7.6923
LAMA5	7.6923
PPP2R5D	7.6923
FBN2	7.6923
RFC2	7.6923
TBX5	7.6923
ADK	7.6923
METTL27	7.6923
GPX4	7.6923
BMPR1A	7.6923
GPC6	7.6923
RAB23	7.6923
SLC25A36	7.6923
VKORC1	7.6923
